code,description,chapter
8471.30.00,Portable digital automatic data processing machines weight <= 10 kg,84
8471.41.00,Other data processing machines comprising CPU and I/O,84
8471.49.00,Other data processing machines presented as systems,84
8471.50.00,Digital processing units CPUs for data processing machines,84
8523.51.00,Solid-state storage devices SSDs,85
8542.31.00,Electronic integrated circuits as processors controllers,85
8534.00.00,Printed circuits,85
7604.29.90,Aluminium profiles not further worked than extruded,76
7208.51.00,Flat-rolled iron steel products hot-rolled thickness > 10mm,72
3004.90.00,Medicaments for therapeutic prophylactic purposes in measured doses,30
2106.90.00,Food preparations not elsewhere specified or included,21
6110.20.00,Pullovers cardigans etc of cotton knitted or crocheted,61
6403.99.00,Footwear with rubber plastic soles and leather uppers,64
9403.30.00,Wooden furniture for offices,94
9503.00.00,Tricycles scooters dolls puzzles and other toys,95
2009.11.00,Orange juice frozen,20
3926.90.00,Articles of plastics not elsewhere specified,39
8479.89.00,Machines and mechanical appliances having individual functions not specified,84
9018.11.00,Electrocardiographs,90
9030.33.00,Instruments for measuring electrical quantities without recording device,90
3822.00.00,Diagnostic or laboratory reagents on a backing,38
2933.79.00,Lactams other than 2-piperidone and 2-azacyclotridecanone,29
8708.30.00,Brake systems and parts for motor vehicles,87
9031.80.00,Measuring or checking instruments appliances and machines not specified,90
8471.30.01,Laptop computers portable,84
8523.51.01,Solid-state drives for computers,85
3926.90.10,Plastic components for furniture,39
3926.90.20,Plastic toy parts and accessories,39
